0	20315
1	11690
2	9190
3	8277
4	7522
5	6971
6	6432
7	5862
8	5573
9	4922
10	4806
11	4559
12	4102
13	3892
14	3856
15	3641
16	3463
17	3603
18	3494
19	3385
20	3282
21	3292
22	3389
23	3162
24	3226
25	3097
26	3034
27	2995
28	2810
29	2774
30	2673
31	2622
32	2583
33	2584
34	2499
35	2573
36	2474
37	2516
38	2425
39	2289
40	2301
41	2336
42	2222
43	2261
44	2237
45	2183
46	2090
47	2193
48	2226
49	2171
50	2088
51	1925
52	1888
53	1956
54	1854
55	1886
56	1843
57	1910
58	1748
59	1758
60	1795
61	1714
62	1642
63	1612
64	1691
65	1604
66	1530
67	1557
68	1624
69	1655
70	1645
71	1734
72	1821
73	1778
74	1626
75	1726
76	1692
77	1749
78	1746
79	1752
80	1641
81	1699
82	1632
83	1643
84	1595
85	1684
86	1648
87	1559
88	1489
89	1560
90	1471
91	1500
92	1483
93	1446
94	1475
95	1397
96	1435
97	1460
98	1405
99	1351
100	1371
101	1418
102	1287
103	1282
104	1243
105	1203
106	1311
107	1246
108	1315
109	1221
110	1234
111	1205
112	1093
113	1193
114	1143
115	1068
116	1128
117	1097
118	1027
119	1063
120	988
121	999
122	972
123	1022
124	954
125	901
126	953
127	933
128	904
129	917
130	909
131	877
132	911
133	784
134	826
135	839
136	925
137	868
138	896
139	757
140	849
141	825
142	777
143	768
144	785
145	808
146	835
147	702
148	761
149	740
150	699
151	755
152	735
153	739
154	687
155	664
156	684
157	693
158	641
159	675
160	671
161	642
162	610
163	614
164	573
165	588
166	565
167	598
168	528
169	608
170	558
171	549
172	547
173	543
174	572
175	502
176	550
177	507
178	513
179	490
180	525
181	540
182	490
183	502
184	447
185	496
186	473
187	464
188	427
189	467
190	459
191	434
192	463
193	433
194	433
195	411
196	465
197	454
198	450
199	424
200	431
201	450
202	432
203	394
204	403
205	373
206	366
207	433
208	400
209	387
210	364
211	402
212	415
213	394
214	366
215	411
216	376
217	369
218	377
219	395
220	353
221	361
222	384
223	354
224	344
225	333
226	331
227	312
228	353
229	297
230	278
231	307
232	317
233	340
234	334
235	295
236	317
237	282
238	295
239	333
240	285
241	291
242	263
243	269
244	286
245	323
246	261
247	248
248	246
249	261
250	227
251	274
252	273
253	266
254	226
255	276
256	270
257	270
258	268
259	229
260	265
261	237
262	255
263	244
264	230
265	201
266	227
267	228
268	246
269	242
270	219
271	244
272	273
273	230
274	257
275	220
276	184
277	255
278	221
279	221
280	204
281	228
282	211
283	221
284	204
285	206
286	213
287	239
288	203
289	227
290	222
291	233
292	188
293	178
294	182
295	199
296	193
297	194
298	188
299	196
300	198
301	214
302	180
303	199
304	192
305	194
306	204
307	154
308	174
309	196
310	167
311	181
312	152
313	168
314	169
315	185
316	172
317	164
318	140
319	176
320	165
321	153
322	182
323	171
324	186
325	172
326	152
327	183
328	181
329	151
330	133
331	137
332	156
333	160
334	130
335	146
336	103
337	157
338	143
339	153
340	157
341	174
342	156
343	152
344	128
345	143
346	140
347	143
348	150
349	112
350	147
351	153
352	154
