0	3950	652
1	3332	655
2	3596	641
3	3959	643
4	3250	658
5	3947	640
6	3234	661
7	3155	655
8	4044	640
9	3420	645
10	3243	637
11	4123	643
12	3246	651
13	3321	651
14	4287	653
15	3476	643
16	4049	652
17	3279	633
18	40	22
19	124	96
20	94	50
21	113	26
22	587	238
23	183	115
24	425	150
25	161	106
26	86	34
27	332	183
28	355	177
29	113	53
30	46	19
31	194	109
32	185	115
33	168	120
34	62	48
35	69	45
36	27	19
37	401	179
38	79	30
39	70	40
40	189	110
41	44	13
42	506	248
43	101	65
44	143	52
45	119	54
46	95	71
47	321	181
48	339	183
49	127	85
50	124	82
51	114	52
52	32	24
53	192	112
54	132	94
55	197	81
56	160	102
57	196	104
58	550	244
59	116	67
60	146	50
61	57	52
62	168	74
63	117	87
64	146	85
65	114	30
66	132	70
67	419	227
68	173	137
69	126	79
70	207	115
71	325	191
72	125	48
73	383	209
74	142	87
75	74	50
76	287	146
77	134	112
78	172	126
79	38	22
80	149	44
81	510	224
82	373	175
83	81	46
84	38	9
85	238	106
86	258	174
87	25	7
88	412	201
89	53	26
90	397	202
91	347	161
92	188	121
93	83	35
94	243	148
95	376	176
96	261	163
97	180	116
98	20	12
99	154	100
100	347	168
101	183	140
102	60	16
103	348	169
104	88	39
105	187	109
106	170	108
107	699	266
108	137	104
109	55	47
110	258	145
111	117	85
112	184	99
113	229	113
114	52	29
115	331	173
116	22	12
117	66	45
118	250	131
119	343	188
120	101	50
121	136	86
122	274	155
123	98	47
124	224	156
125	39	15
126	171	107
127	648	283
128	117	92
129	334	155
130	332	166
131	164	104
132	159	79
133	85	65
134	101	62
135	880	249
136	94	50
137	229	148
138	137	68
139	141	103
140	647	233
141	714	276
142	73	51
143	343	145
144	1260	376
145	126	80
146	252	133
147	261	119
148	271	171
149	43	20
150	78	40
151	140	75
152	124	46
153	100	55
154	29	19
155	113	55
156	108	54
157	166	81
158	545	160
159	113	76
160	288	124
161	188	138
162	504	236
163	200	144
164	175	82
165	140	74
166	45	23
167	415	188
168	37	17
169	157	87
170	1049	293
171	320	190
172	216	126
173	186	120
174	29	12
175	258	135
176	36	7
177	24	11
178	232	102
179	63	50
180	181	86
181	198	104
182	76	11
183	256	154
184	39	17
185	148	92
186	1384	411
187	388	231
188	85	59
189	147	89
190	568	252
191	55	22
192	145	83
193	15	11
194	98	58
195	193	97
196	103	60
197	86	36
198	105	52
199	574	263
200	657	302
201	167	72
202	317	187
203	217	133
204	295	145
205	296	136
206	80	50
207	49	35
208	81	50
209	157	69
210	436	178
211	379	180
212	78	21
213	187	125
214	44	20
215	49	22
216	409	202
217	381	194
218	81	47
219	146	87
220	131	74
221	137	94
222	343	173
223	114	70
224	89	40
225	35	15
226	268	152
227	327	167
228	135	106
229	58	45
230	117	86
231	419	180
232	260	156
233	94	64
234	93	67
235	458	151
236	106	69
237	130	81
238	345	195
239	154	88
240	448	210
241	399	203
242	103	52
243	127	92
244	48	39
245	118	81
246	64	25
247	103	14
248	115	44
249	210	112
250	181	104
251	966	359
252	16	10
253	110	93
254	239	157
255	200	143
256	225	165
257	101	55
258	234	123
259	99	47
260	245	150
261	157	102
262	139	67
263	109	84
264	123	66
265	108	81
266	85	65
267	68	51
268	269	175
269	176	102
270	324	165
271	55	32
272	51	32
273	335	177
274	390	160
275	449	229
276	302	173
277	111	68
278	124	100
279	148	94
280	198	118
281	415	169
282	174	105
283	205	94
284	211	133
285	62	48
286	55	7
287	131	95
288	577	244
289	67	39
290	83	53
291	184	107
292	564	243
293	87	46
294	198	121
295	640	237
296	188	115
297	84	55
298	62	20
299	21	14
300	324	151
301	131	63
302	30	24
303	247	133
304	249	138
305	219	80
306	211	129
307	39	21
308	751	308
309	182	85
310	307	173
311	442	221
312	279	174
313	300	185
314	42	39
315	71	40
316	111	52
317	389	200
318	606	287
319	172	104
320	722	310
321	183	117
322	47	30
323	171	128
324	387	231
325	105	85
326	127	94
327	112	70
328	130	54
329	216	154
330	340	204
331	568	246
332	136	79
333	87	67
334	276	165
335	110	75
336	551	236
337	89	31
338	498	249
339	321	140
340	134	100
341	206	129
342	76	48
343	256	127
344	165	120
345	176	107
346	118	98
347	65	35
348	437	208
349	93	59
350	398	213
351	167	109
352	112	68
353	140	100
354	128	73
355	628	288
356	293	123
357	48	26
358	348	208
359	135	99
360	137	57
361	157	105
362	189	120
363	415	234
364	223	128
365	103	46
366	82	26
367	136	101
368	85	62
369	202	111
370	92	65
371	228	121
372	107	75
373	416	224
374	139	99
375	374	201
376	97	65
377	29	12
378	256	125
379	106	71
380	179	130
381	344	184
382	73	52
383	178	88
384	66	26
385	131	99
386	348	136
387	230	136
388	148	86
389	143	83
390	631	283
391	128	92
392	235	146
393	328	186
394	85	57
395	137	106
396	38	10
397	113	87
398	121	73
399	42	20
400	359	181
401	85	34
402	236	122
403	146	98
404	175	132
405	55	43
406	279	138
407	142	91
408	148	87
409	83	69
410	118	74
411	229	142
412	208	131
413	564	267
414	215	136
415	218	116
416	302	189
417	88	58
418	52	40
419	481	208
420	98	69
421	147	101
422	205	134
423	74	68
424	40	20
425	54	22
426	88	54
427	324	189
428	407	213
429	75	50
430	188	111
431	52	34
432	115	93
433	204	105
434	100	80
435	1410	372
436	61	39
437	75	50
438	171	77
439	361	199
440	41	14
441	217	130
442	127	106
443	158	85
444	260	180
445	481	244
446	52	14
447	74	18
448	56	32
449	207	89
450	266	132
451	76	59
452	111	82
453	557	198
454	85	44
455	139	71
456	108	61
457	62	20
458	190	103
459	61	55
460	65	47
461	114	58
462	165	100
463	488	252
464	89	48
465	327	177
466	336	194
467	308	155
468	506	219
469	231	147
470	105	14
471	151	69
472	63	29
473	44	27
474	111	68
475	153	94
476	336	173
477	83	73
478	150	90
479	56	27
480	359	171
481	160	92
482	298	174
483	286	154
484	43	25
485	121	83
486	33	21
487	407	183
488	519	234
489	194	125
490	72	44
491	176	116
492	277	174
493	100	13
494	63	30
495	129	95
496	329	163
497	132	99
498	66	47
499	116	59
500	251	146
501	74	52
502	121	56
503	356	196
504	409	212
505	129	76
506	497	233
507	181	119
508	286	152
509	204	147
510	254	146
511	196	87
512	422	235
513	710	286
514	104	73
515	191	123
516	203	126
517	440	226
518	90	67
519	1493	344
520	132	67
521	318	149
522	328	164
523	178	109
524	134	92
525	44	36
526	192	141
527	646	242
528	68	22
529	459	217
530	57	40
531	553	245
532	214	114
533	251	141
534	82	56
535	351	190
536	106	79
